weekday,银行_close_balance,全国地产_close_balance,生物制药_close_balance,环境保护_close_balance,区域地产_close_balance,酒店餐饮_close_balance,运输设备_close_balance,综合类_close_balance,建筑工程_close_balance,玻璃_close_balance,家用电器_close_balance,文教休闲_close_balance,其他商业_close_balance,元器件_close_balance,IT设备_close_balance,其他建材_close_balance,汽车服务_close_balance,火力发电_close_balance,医药商业_close_balance,汽车配件_close_balance,广告包装_close_balance,轻工机械_close_balance,新型电力_close_balance,多元金融_close_balance,饲料_close_balance,电气设备_close_balance,房产服务_close_balance,石油加工_close_balance,铅锌_close_balance,农业综合_close_balance,批发业_close_balance,通信设备_close_balance,旅游景点_close_balance,港口_close_balance,机场_close_balance,石油贸易_close_balance,空运_close_balance,医疗保健_close_balance,商贸代理_close_balance,化学制药_close_balance,影视音像_close_balance,工程机械_close_balance,软件服务_close_balance,证券_close_balance,化纤_close_balance,水泥_close_balance,专用机械_close_balance,供气供热_close_balance,农药化肥_close_balance,机床制造_close_balance,百货_close_balance,中成药_close_balance,路桥_close_balance,造纸_close_balance,食品_close_balance,黄金_close_balance,化工原料_close_balance,矿物制品_close_balance,水运_close_balance,日用化工_close_balance,机械基件_close_balance,汽车整车_close_balance,煤炭开采_close_balance,铁路_close_balance,染料涂料_close_balance,白酒_close_balance,林业_close_balance,水务_close_balance,水力发电_close_balance,互联网_close_balance,旅游服务_close_balance,纺织_close_balance,铝_close_balance,保险_close_balance,园区开发_close_balance,小金属_close_balance,铜_close_balance,普钢_close_balance,航空_close_balance,特种钢_close_balance,种植业_close_balance,出版业_close_balance,焦炭加工_close_balance,啤酒_close_balance,公路_close_balance,超市连锁_close_balance,钢加工_close_balance,渔业_close_balance,农用机械_close_balance,软饮料_close_balance,化工机械_close_balance,塑料_close_balance,红黄酒_close_balance,橡胶_close_balance,家居用品_close_balance,摩托车_close_balance,电器仪表_close_balance,服饰_close_balance,仓储物流_close_balance,纺织机械_close_balance,电器连锁_close_balance,装修装饰_close_balance,半导体_close_balance,电信运营_close_balance,石油开采_close_balance,乳制品_close_balance,商品城_close_balance,公共交通_close_balance,船舶_close_balance,陶瓷_close_balance
Monday,0.5150786759415206,0.5597426013506036,0.5629640161645304,0.5643656466224959,0.5718881773620387,0.5917151510691178,0.5680655424747133,0.5947377281280776,0.5716039305772586,0.5810396407616917,0.5709584757902841,0.5800011393057698,0.5679022095457555,0.5769018340886528,0.5682333652236375,0.5907866878535263,0.5565602069620111,0.5979652742823205,0.5759717723184149,0.5738661311781867,0.5776521156422604,0.5764759227612244,0.578795083403505,0.5912572721505626,0.5871925300280505,0.5781408110961015,0.5300421689883763,0.586549504733548,0.5918505615875996,0.606060799860157,0.5889354621299423,0.5854698484831032,0.5767026216747619,0.5656221070668929,0.5789479627004641,0.5356531870417076,0.5369220312377809,0.5701329603950521,0.5847889325066624,0.5686793081077728,0.578363633915848,0.5909251745542711,0.5715992645548243,0.5330851423327627,0.6037686869469175,0.5940398912094303,0.5616257690057326,0.5954373026795008,0.5890729767668365,0.5559628239369868,0.5771574683048374,0.5817759905833134,0.5831674931366236,0.5827756791700258,0.5680563844951346,0.574585104683257,0.5756087262306658,0.5855871172839473,0.584150381237705,0.5627266824095758,0.574108561276223,0.5732045051669712,0.5826600437756682,0.5555668130430098,0.5766030994356588,0.5560549345452698,0.5885152513643578,0.5972218678362764,0.5727212295866093,0.5805013571702955,0.588841075391297,0.5788907048698885,0.5907892886558768,0.5329912502916604,0.5817948828590245,0.575918892454883,0.5726429305888735,0.588683700884664,0.6006889847018901,0.5791729735229105,0.6081919093587744,0.5683631120350459,0.6001894295762504,0.5642821926960468,0.5830694908575651,0.5844072493691758,0.5809844118958025,0.6010319817813987,0.5717234221766921,0.5839979195410164,0.5880650519496442,0.5820159821686205,0.5730359467096752,0.5837500800161268,0.5360742485174479,0.5708528985960656,0.5690077108469541,0.5718070813935171,0.5785457368762957,0.551626778473064,0.5528057502757713,0.5581533804969386,0.5839509851007079,0.5826608931010848,0.5856486337214931,0.5799873406798076,0.5647627803013916,0.5715794828670276,0.5883480526874807,0.6289867531581076
Tuesday,0.5302339608432721,0.5729679114565115,0.5880716964020553,0.5905603252020535,0.5832811168164643,0.5828271661516246,0.5786018548251995,0.600073169493306,0.5803116122851747,0.5809555176179044,0.5737079176148506,0.6036982125404844,0.5881720964158308,0.5814685965963408,0.577137168613143,0.5873947959372403,0.5958436953942081,0.5767585365976182,0.5689128592673139,0.5890418049865329,0.5905257139858298,0.5818446630121723,0.5973928664465588,0.5934368434168233,0.5706838257001506,0.583295525899051,0.596796556440878,0.5680872151972836,0.5873552819598593,0.5956747889287648,0.5913414592722718,0.584967587131849,0.5719295252643729,0.5944355763769475,0.5529841170209717,0.5816614963839888,0.5451765149165227,0.5970198940706225,0.5799004620928295,0.5813582349606488,0.5973699556022625,0.5744256691256201,0.5931078991035089,0.5723102304392644,0.5969773876969828,0.5785416982736105,0.5903466979682012,0.585407487986733,0.5693959226544199,0.5978531391448216,0.5819585780893246,0.5765276780781241,0.5773862702265583,0.5842891794813977,0.5903629073882057,0.5788561791465346,0.5928161230337389,0.5802205039892381,0.5950744159894207,0.5904600128806259,0.5899252083491163,0.56486495616629,0.5468831225792926,0.5809413763192494,0.5801235700048571,0.5485695028549286,0.5773765748432649,0.5820281544621329,0.5730095041538863,0.6083582893077986,0.5824072868726181,0.5847358128910332,0.5793658833287016,0.5427810143088094,0.5795196668659417,0.5736723951677264,0.594158706074287,0.5665804813972134,0.576017201281733,0.585489497664034,0.5770628002603532,0.5958921142837255,0.5756899617334297,0.5686208636220078,0.6048172350343016,0.5772021753825761,0.589931389453276,0.5918426304814731,0.5867191971448192,0.5712518122605168,0.5814613151924909,0.599824261780537,0.5715191553581122,0.5878227248121168,0.5714029428898346,0.6005302752950514,0.5804544112513398,0.5777389205809402,0.5904921437155781,0.5916228645853749,0.5508126683384416,0.5745404789188343,0.5874288953797857,0.5613784387235096,0.5907812528553995,0.5928015290498614,0.5639559416221867,0.5894231305846339,0.5693957767672375,0.6409959700477127
Wednesday,0.4687740631582619,0.5489743107022721,0.5403952140448389,0.5500113356423694,0.5600489352371707,0.565995068990291,0.525395199007313,0.5734815657824579,0.5303246122586792,0.5446585077105123,0.5365359333212933,0.5622124102677887,0.535215839523935,0.542034849579902,0.5440543398986092,0.5450756940047177,0.557406668292346,0.5444479437802978,0.5307367521104145,0.5391712218284419,0.5434094055249229,0.5606032255595148,0.5336798097425,0.5651929651839929,0.5227017383745597,0.5401368744865324,0.6051494932402494,0.5245308120668508,0.5637800371648866,0.525459515365423,0.5432285999666563,0.5358108904091379,0.5298406326007071,0.5306074533254932,0.5118252599010689,0.5633616896966602,0.5243188247292956,0.5346845607365641,0.5572773718811205,0.5252608133399745,0.5456260093543595,0.5393858024009888,0.5426369023556216,0.4811973506738697,0.5526110071208133,0.5550149876310869,0.5415132866805727,0.5289865442716278,0.5371453631868708,0.5357689586619895,0.5457493843196838,0.52855972620091,0.5512877622841629,0.5466778353269967,0.5352007819401173,0.5754457134638193,0.5374677229454318,0.531367841743583,0.546409481689193,0.5300194650994637,0.5337219487984961,0.5316279248933947,0.5344241669423735,0.5440498583775147,0.5138053879681197,0.5105127989485334,0.569354445238086,0.53935348058343,0.5346461835196248,0.5544306147655738,0.5659219132335288,0.5415629910882057,0.5477584623859775,0.4795009458833287,0.5286188549198166,0.5587034415719951,0.5689128818776014,0.5628665733443454,0.5764745012658888,0.5610465618790849,0.5411331150076137,0.5334816373539251,0.5531281382611619,0.5339939311726959,0.5662376076098279,0.5254417612654962,0.5211870111713619,0.5547439650717595,0.5410571119089211,0.5252680762462482,0.5449605910864934,0.5473363671137964,0.5319590428257641,0.533031092395344,0.5079449825327653,0.5353944272879531,0.5406455833578488,0.5359101281056383,0.5345781109681088,0.5397635252109342,0.5225325640353178,0.5248760239856003,0.5612897575572334,0.5163829433529301,0.5381760418864407,0.55962039196056,0.5316511739407795,0.5392377460965827,0.5566366155199177,0.5898469589937654
Thursday,0.5023978364785932,0.5013232582011591,0.5115828354795408,0.5187145442386336,0.51192112792185,0.5208779644393525,0.5127133996268277,0.5249890870811793,0.5035818088431442,0.5096552005288046,0.5072812242788792,0.5205823985290374,0.5075041195280594,0.5186245830717731,0.5219407152481269,0.5047890723440619,0.5249269361268972,0.5159065376495027,0.5030019368486547,0.5013775194680518,0.5145895147679376,0.5147155973011984,0.5320292291792756,0.531587993601707,0.4991048688250633,0.5175432401042236,0.5275194499119144,0.5063283873974704,0.5184924183095807,0.5342623058631176,0.5120635288111567,0.5178224574114361,0.5137112769089829,0.5050406364695686,0.49125818937136156,0.5499935906616599,0.4935730127104588,0.5268468831647951,0.5224633722235341,0.500415811327328,0.5287128061884918,0.49440408960332327,0.5232698092015264,0.5020080678364691,0.5272504588848969,0.5018903993699401,0.5162692631639728,0.5138392310467695,0.5056099074361343,0.5144267098335563,0.49959977199901767,0.5040623821161384,0.5037504624672667,0.5026467103277282,0.5056479814441132,0.5028249029425153,0.5090063160435777,0.5105418712620913,0.5224858524386762,0.5187062396273823,0.5068266422986317,0.4915359646015372,0.4874131954268087,0.5110040743886339,0.5050216392301984,0.49211961118386444,0.521181737290781,0.5122629739985735,0.503248753132774,0.5380517009097157,0.5206085921357788,0.5080208155570255,0.5112318354142399,0.4866037747057965,0.4898402829247063,0.510426127604316,0.5101618459577587,0.5135566466881107,0.50407479325456,0.5089016456520009,0.5077480821902781,0.5126531503374718,0.5103635520230998,0.4899031606229292,0.5331676659076785,0.4863833577598116,0.5132823507755452,0.5034443482339171,0.5091489445066938,0.4921819729709978,0.5093046530741117,0.5120312430424651,0.49879997719457664,0.5148898128311317,0.49727551217284777,0.49879266275104317,0.5170299203992327,0.4993606416054138,0.5108146582754548,0.5099722164178716,0.4591745886923507,0.5045962034233878,0.5162080862658892,0.5238715123898615,0.5159814968059282,0.5032972700371523,0.49611282482569613,0.4913941488912372,0.5034043360627524,0.572317634541395
Friday,0.5107518220357994,0.5688257200992002,0.5347842684635044,0.5334296600098957,0.5805538068853281,0.5700612858184352,0.507554177035966,0.5584177201969658,0.5326354665295868,0.53545787401705,0.5310986392662665,0.5519452414673451,0.5216281544450657,0.5173404081979641,0.5220551745822344,0.5508229069301623,0.554672324934293,0.5570340306054719,0.5368870815541648,0.5179057183620384,0.5330270696318784,0.5518256185314165,0.5361567150756654,0.5676255318059695,0.5261659685127787,0.5247132955048308,0.5064594890929208,0.5358672910280693,0.5508859769928884,0.5327851419269215,0.5564614874585196,0.5235420641086036,0.5409655051432104,0.5552746898721579,0.5525741923241025,0.4737314423343392,0.5146124378349632,0.5215288343199309,0.5600345703161016,0.5249950636741751,0.5534036255624071,0.5446202530367917,0.5208501014358543,0.5297558665237345,0.5660404164168639,0.5459834284471543,0.5135019936245735,0.5206903687128608,0.5416761850043404,0.5209198012742978,0.5485108285932612,0.5241581226944845,0.5624931060484601,0.5417955847437939,0.5263075483278697,0.5553557841218438,0.5205069735424129,0.5183318841353025,0.573782157161852,0.5509670738592359,0.5218953798388807,0.5392049895251649,0.534540020338705,0.5190748152353934,0.5227451940847446,0.5179331374380645,0.5588956489301051,0.5432663122857652,0.5504099656296033,0.551064638145547,0.5643060050316112,0.5414226619681995,0.5330096170864711,0.5401879489755097,0.5490796155189569,0.5333906088478464,0.5490939336280771,0.5634555699256459,0.548621223733844,0.5324977728430027,0.514681796893803,0.5182930437910301,0.5416990841945799,0.5453338994220193,0.5659884445289545,0.5458539447453891,0.5277177007895355,0.5530479622159659,0.5343934601480823,0.5279061143517688,0.5358691214902552,0.5278584123472019,0.5422469829168691,0.5428033373651501,0.504798405207706,0.5250557572604496,0.5169359055753073,0.5363878574717461,0.5438265280765403,0.5163817601930666,0.5322188622188622,0.5264132282438951,0.5346683392623537,0.511234020684074,0.530637861528361,0.5363474090121556,0.5504588467944087,0.5332543637601301,0.5390142677282252,0.5926661171146992
