weekday,银行_open_balance,全国地产_open_balance,生物制药_open_balance,环境保护_open_balance,区域地产_open_balance,酒店餐饮_open_balance,运输设备_open_balance,综合类_open_balance,建筑工程_open_balance,玻璃_open_balance,家用电器_open_balance,文教休闲_open_balance,其他商业_open_balance,元器件_open_balance,IT设备_open_balance,其他建材_open_balance,汽车服务_open_balance,火力发电_open_balance,医药商业_open_balance,汽车配件_open_balance,广告包装_open_balance,轻工机械_open_balance,新型电力_open_balance,多元金融_open_balance,饲料_open_balance,电气设备_open_balance,房产服务_open_balance,石油加工_open_balance,铅锌_open_balance,农业综合_open_balance,批发业_open_balance,通信设备_open_balance,旅游景点_open_balance,港口_open_balance,机场_open_balance,石油贸易_open_balance,空运_open_balance,医疗保健_open_balance,商贸代理_open_balance,化学制药_open_balance,影视音像_open_balance,工程机械_open_balance,软件服务_open_balance,证券_open_balance,化纤_open_balance,水泥_open_balance,专用机械_open_balance,供气供热_open_balance,农药化肥_open_balance,机床制造_open_balance,百货_open_balance,中成药_open_balance,路桥_open_balance,造纸_open_balance,食品_open_balance,黄金_open_balance,化工原料_open_balance,矿物制品_open_balance,水运_open_balance,日用化工_open_balance,机械基件_open_balance,汽车整车_open_balance,煤炭开采_open_balance,铁路_open_balance,染料涂料_open_balance,白酒_open_balance,林业_open_balance,水务_open_balance,水力发电_open_balance,互联网_open_balance,旅游服务_open_balance,纺织_open_balance,铝_open_balance,保险_open_balance,园区开发_open_balance,小金属_open_balance,铜_open_balance,普钢_open_balance,航空_open_balance,特种钢_open_balance,种植业_open_balance,出版业_open_balance,焦炭加工_open_balance,啤酒_open_balance,公路_open_balance,超市连锁_open_balance,钢加工_open_balance,渔业_open_balance,农用机械_open_balance,软饮料_open_balance,化工机械_open_balance,塑料_open_balance,红黄酒_open_balance,橡胶_open_balance,家居用品_open_balance,摩托车_open_balance,电器仪表_open_balance,服饰_open_balance,仓储物流_open_balance,纺织机械_open_balance,电器连锁_open_balance,装修装饰_open_balance,半导体_open_balance,电信运营_open_balance,石油开采_open_balance,乳制品_open_balance,商品城_open_balance,公共交通_open_balance,船舶_open_balance,陶瓷_open_balance
Monday,0.4863127504633949,0.558763232292606,0.5351414048827955,0.5610472124159616,0.5482405878788205,0.5626234952214335,0.553377156712229,0.5551615620110719,0.5447833058319852,0.5467539037768284,0.5423970257187696,0.5426807224951343,0.5447332929439832,0.5294892070361408,0.53061593405464,0.5542296955354542,0.5319337120458587,0.6021451501339719,0.5491033465211337,0.5374837918805235,0.5353970859044125,0.5524623764453125,0.5864041250397577,0.5533659038756452,0.5607906045798645,0.5495953362465144,0.47924835856845893,0.5414362086071653,0.5464259692806309,0.5645306075323844,0.5326638858208504,0.5410878577801845,0.5456432450998802,0.5735840517578821,0.5780177325662192,0.522751100891506,0.5375456956792666,0.5414831203539556,0.5546637042177938,0.5479178790491788,0.54879239125086,0.5705427319562154,0.5262666669819265,0.5024240890139051,0.5803335969709289,0.5517771869298249,0.530420003887905,0.5488561962664215,0.5483806002516485,0.5167467864634679,0.5433666735529293,0.5543096252992336,0.5985644578182338,0.5563575077779158,0.5225906919973611,0.5277873267788337,0.5345289144089374,0.518513291613979,0.5804706855048308,0.5052314959867666,0.5362943011125673,0.5526877031245536,0.5402391321359228,0.5740111635567711,0.5295035585237398,0.49209492907461005,0.5360707383677429,0.5745008937409017,0.5675355303190267,0.5432269737959108,0.5469545468403932,0.5418480754193125,0.5565554954139992,0.5055073344124095,0.5435028907352023,0.5177770544039232,0.5310330325847361,0.5778014520812844,0.5998324968796197,0.5456038101253744,0.5417285497304304,0.5473711804719897,0.5363632901289458,0.5182479111553387,0.5413317246388996,0.5227340119127563,0.5335662372794671,0.5495647167164392,0.4971306339841358,0.5181429898837852,0.5367106453470225,0.5510685805541663,0.5202280817319844,0.5384432754753345,0.51840550463828,0.5256807750671398,0.5305196451876283,0.5416749051140016,0.5555607874531233,0.5124164399429749,0.568112538400408,0.5236473329053889,0.5360557915055648,0.543505655621825,0.5423142486240069,0.5361099520198317,0.5869054829372805,0.5516522032605532,0.5444474535820248,0.5963734178085196
Tuesday,0.498230648530033,0.5384425504746032,0.534511386645649,0.5544164990918456,0.5396725920780193,0.5545031690012618,0.552029449540626,0.5400238236582483,0.5442129566486732,0.5318703829843432,0.5409349820983623,0.5294578714549066,0.5158958559777767,0.514605679356742,0.5264680362468006,0.5429266600454942,0.5148856121884072,0.5869575338804186,0.5387637453528596,0.5327054277747246,0.5405293369204858,0.5365119327120136,0.5818889732025999,0.5326570344441266,0.52796681424855,0.5394123702663104,0.515149246400417,0.5156317901399331,0.53334145066711,0.5135599354406938,0.5306635389468306,0.5136012758964751,0.5214552543313801,0.5589319216603295,0.540846300199662,0.48444364377122234,0.5314736849493095,0.5422682154215059,0.527387436612422,0.5264352639581084,0.533100417031686,0.5499522094344244,0.5239701544438781,0.4916102577723834,0.559365529361046,0.53289051228582,0.5337174497019262,0.5279366740608946,0.516855940871252,0.551180521363315,0.5327833291359186,0.5393121971644921,0.5774902639992592,0.5432080037772101,0.5159685363116508,0.48540792445995096,0.5202481372555007,0.5024737534552578,0.584366129593125,0.5097602694934854,0.5271315304389126,0.5321427622849375,0.498715336489325,0.5682182254836502,0.5048371750222178,0.461593798291776,0.5051636428477242,0.5493330048633956,0.553778733215023,0.5386732729758117,0.5211354678089803,0.5275608511410258,0.5210317256498825,0.4851773058653911,0.5360813477052854,0.4914498733554417,0.5079922768775218,0.5442710716496388,0.5381509366855436,0.5468679648527739,0.4983458989821715,0.5229998186623982,0.5099754266881656,0.5104796359474263,0.5328290380829256,0.5156644064068773,0.5356306023827607,0.5205007037005681,0.5036724261103088,0.48847696999900875,0.5125351340790466,0.5230295316239199,0.5149320339957458,0.5198901037673342,0.514143609053031,0.5360963603720119,0.5187910336689201,0.5292734702297346,0.5356315576082368,0.5170956219788754,0.5639175257731959,0.5243579623270754,0.5095134706833976,0.5121740743424906,0.5221488676167627,0.5159291786270556,0.5732042140151915,0.5255781617102534,0.5055226457900482,0.5868176581178395
Wednesday,0.4582066789475744,0.5306585238669669,0.5256510803137231,0.5239134896923245,0.5342759059447588,0.5438058214660126,0.5059506683989369,0.5335015199319566,0.5213785013141761,0.5315888992660042,0.5155003544804064,0.5156501783305683,0.5039664644502421,0.4952366310960284,0.49069972979566223,0.5389824275310499,0.543791867483345,0.5739573508468503,0.5308475607830766,0.522725727178306,0.5207005984261581,0.5480503856579693,0.5584982947485192,0.5129871596970407,0.5280421955353434,0.523329745388166,0.4962675066235352,0.5100899908900844,0.5319346646181273,0.4953921363950116,0.516625899656721,0.4912307577403205,0.5250875479501551,0.5215585340999732,0.532359513365886,0.5007790644791282,0.5316315856598867,0.5006190091320165,0.5194816041327152,0.5203936429063937,0.5279651718374195,0.5357614010793968,0.4833914134595733,0.44390000715443134,0.5366227074200244,0.5154428970274781,0.5059074668317936,0.5137390092230268,0.5217842353532582,0.5036931182152334,0.5200339669737724,0.5218618996676195,0.5653600407627634,0.5243544857954353,0.48958772184495525,0.49186045657846544,0.5040925477120145,0.4986386570961898,0.5516976922275664,0.4915091263660822,0.5142908296595776,0.5322672771679494,0.49901565198296355,0.48892366911177276,0.4915804248643847,0.4615865636122054,0.5343795128081142,0.5382160274908359,0.5396948809193833,0.5192560707436769,0.5319587145752188,0.5253165610098012,0.5286703080710008,0.4585496763099135,0.5131954334754639,0.4934231356390602,0.5029877863038394,0.5255818992171075,0.5319647904903685,0.5296031875148361,0.4846275272658919,0.5146023765605093,0.5066968243098947,0.49075044343048335,0.5288744188702094,0.5190481813059167,0.5193762900394107,0.5220938196659816,0.5021806784444369,0.48899174079488844,0.5244845191636162,0.5075328170504838,0.5071305089305728,0.5169599644640167,0.49018057356166206,0.5426149615235252,0.5158239244192762,0.5135320358209807,0.5226466094923126,0.4694550678552203,0.5189920447591573,0.5015828193007503,0.47931804414725326,0.48552464025562375,0.5194297866796082,0.5094785364376649,0.577188381165337,0.5264164859437153,0.4998289633072239,0.5741075090883648
Thursday,0.5124855191693102,0.5319555081629911,0.5225098128690254,0.5434537324950861,0.5284720578860801,0.5475574473923897,0.5412714325783266,0.5376493937679311,0.53134374866982,0.5380798282628619,0.5359836464837037,0.5186536175134204,0.5134746185999888,0.5045830939335669,0.517057435564631,0.5301681583542648,0.5386687868809515,0.5728439013579045,0.5345484291438051,0.5174856354218615,0.5321047914868495,0.5270275680588434,0.5604316460427531,0.5220047106452861,0.5246754125006434,0.5285297941139021,0.5051510524693466,0.5180592134559827,0.5254142281626435,0.5082038673352345,0.5051675227554792,0.5098375627668219,0.5212880339185301,0.5447732223649189,0.553196531788295,0.5288782832264439,0.5265471390506564,0.5302444420091317,0.5280648548786447,0.5209697585131547,0.5219493582459724,0.5446530749823408,0.5085685171779412,0.48403376231624123,0.5508707535880669,0.5195577981547918,0.5111725847576957,0.532828297343391,0.5203389942793506,0.5008950309941718,0.5280228303671711,0.5257319374887665,0.5737602492054737,0.5286066754472728,0.5075006580291496,0.4713461057642049,0.5093101938924064,0.4913296459334261,0.5595885571125655,0.487618578440788,0.5164400962522181,0.5344127624127583,0.5171498933977341,0.590067718795155,0.5047298854129895,0.4641763738573894,0.5044657963682557,0.5394264876508453,0.5320158043017359,0.535140302391914,0.5315159339541083,0.5203408032970657,0.5269242147977928,0.5114136626971383,0.516852233074141,0.5035786989440455,0.5324263838991172,0.5376478241092224,0.5089500422777451,0.5241351818049896,0.47770593629690083,0.5323814587777415,0.5200213433495503,0.4869319535924093,0.5218455114725118,0.5233062640918988,0.5308932215596459,0.5163668897858993,0.496936699015052,0.4890905368344927,0.5132569105669903,0.5344103406518327,0.4925366772789503,0.5112673698187772,0.49517351357776446,0.5361894141023037,0.5166611296737998,0.5114230818717657,0.5274990587599353,0.5000748753518324,0.5000772581452159,0.5157273788498761,0.49527039738634343,0.5131716105402658,0.5298396929893721,0.4896796640588336,0.5694175624868695,0.533842073310041,0.497839800215912,0.5814190650950398
Friday,0.5213461806391892,0.5575210848421565,0.5476242808049199,0.5426512425004562,0.5470660916702004,0.5643024074697355,0.5524821656218972,0.5509634641247245,0.5493622350445709,0.5530859133358428,0.5314327037759154,0.5326505284309835,0.5342879923806291,0.5157273850778752,0.5507672400412305,0.5441712800624618,0.5473815189855369,0.590855841277164,0.5366414178626724,0.5251244890571949,0.5422523372588088,0.5517224667414296,0.5744277144805285,0.5345245856458541,0.520453864873663,0.5307549263216048,0.49197316296532084,0.5208293631683099,0.5337668924789921,0.4931298773070709,0.5326803533760435,0.5147828178117945,0.5299919933821725,0.5572126196812756,0.5602881936512426,0.511022740086914,0.5536409425053465,0.5393978996571978,0.5391474246839344,0.5331988732902582,0.5462329082134726,0.5480059672859198,0.5199764375173018,0.5011829354203942,0.5522231204786561,0.5272685200610291,0.5194015681303887,0.5256480541316072,0.5353960035821534,0.5347963758131954,0.5339450403375959,0.5295609435361534,0.5828842312213508,0.5489898691568429,0.512261571463846,0.5162666277468383,0.5211226503563887,0.5127578658512529,0.5787390414035989,0.5062925871803345,0.5250002867348715,0.541959928319298,0.5216742657407839,0.5963462930082267,0.5131848222918758,0.4693982914923076,0.5171478631466646,0.5421378650547036,0.5509871204850489,0.5383831039729983,0.5426359560970245,0.5340186304753587,0.5336980038708004,0.515071182595929,0.5392289052398954,0.5100516330050349,0.5067795171816446,0.549639971726712,0.5360595267455558,0.5275208027643544,0.49876211993159325,0.5388495778926855,0.5378426027359817,0.5178501687789463,0.5445474094120326,0.5336209178124638,0.5254964386735008,0.5361554630708112,0.4955521110838068,0.5344695788695807,0.5175059770874771,0.5221883115742193,0.5077176053664395,0.5291887633260615,0.5093719474594982,0.5391430622810286,0.5245313614061595,0.5271828092320093,0.5438627677303497,0.5223030779694905,0.5273936873936874,0.52480019184048,0.5195308896465297,0.5156154431008214,0.5208040996411429,0.5253286330213888,0.5728518484598711,0.5384303066678908,0.5228423390020477,0.5853200916170931
